reference_month,release_date,headline_cpi,previous_cpi,consensus,forecast,surprise,change_from_previous,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
Jun,2025-07-15 00:00:00-04:00,2.7%,2.4%,2.6%,2.6%,+0.1pp,+0.3pp,Headline CPI rose to 2.7% (vs 2.4% last month). This was a negative surprise for markets (+0.1pp vs forecast).,cpi,0.0036160735386778775,0.005866867558041111,2025-07-15 00:00:00-04:00,2025-07-16 00:00:00-04:00
May,2025-06-11 00:00:00-04:00,2.4%,2.3%,2.5%,2.5%,-0.1pp,+0.1pp,Headline CPI rose to 2.4% (vs 2.3% last month). This was a positive surprise for markets (-0.1pp vs forecast).,cpi,0.0036405558714336372,-0.011079908206323541,2025-06-11 00:00:00-04:00,2025-06-12 00:00:00-04:00
Apr,2025-05-13 00:00:00-04:00,2.3%,2.4%,2.4%,2.4%,-0.1pp,-0.1pp,Headline CPI declined to 2.3% (vs 2.4% last month). This was a positive surprise for markets (-0.1pp vs forecast).,cpi,0.000576306905377244,0.004912849687233045,2025-05-13 00:00:00-04:00,2025-05-14 00:00:00-04:00
Mar,2025-04-10 00:00:00-04:00,2.4%,2.8%,2.5%,2.5%,-0.1pp,-0.4pp,Headline CPI declined to 2.4% (vs 2.8% last month). This was a positive surprise for markets (-0.1pp vs forecast).,cpi,0.018821460861051964,0.008454710937068066,2025-04-10 00:00:00-04:00,2025-04-13 00:00:00-04:00
Feb,2025-03-12 00:00:00-04:00,2.8%,3.0%,2.9%,2.9%,-0.1pp,-0.2pp,Headline CPI declined to 2.8% (vs 3.0% last month). This was a positive surprise for markets (-0.1pp vs forecast).,cpi,-0.013215146358599106,0.020755931909174796,2025-03-12 00:00:00-04:00,2025-03-13 00:00:00-04:00
Jan,2025-02-12 00:00:00-05:00,3.0%,2.9%,2.9%,2.9%,+0.1pp,+0.1pp,Headline CPI rose to 3.0% (vs 2.9% last month). This was a negative surprise for markets (+0.1pp vs forecast).,cpi,0.010656246172325412,1.643989634048104e-05,2025-02-12 00:00:00-05:00,2025-02-13 00:00:00-05:00
Dec,2025-01-15 00:00:00-05:00,2.9%,2.7%,2.9%,2.9%,+0.0pp,+0.2pp,Headline CPI rose to 2.9% (vs 2.7% last month). CPI was exactly in line with expectations.,cpi,-0.0016955583876728797,0.009484977849242737,2025-01-15 00:00:00-05:00,2025-01-16 00:00:00-05:00
Nov,2024-12-11 00:00:00-05:00,2.7%,2.6%,2.7%,2.7%,+0.0pp,+0.1pp,Headline CPI rose to 2.7% (vs 2.6% last month). CPI was exactly in line with expectations.,cpi,-0.005306409277570867,-0.00018123690636917544,2024-12-11 00:00:00-05:00,2024-12-12 00:00:00-05:00
Oct,2024-11-13 00:00:00-05:00,2.6%,2.4%,2.6%,2.6%,+0.0pp,+0.2pp,Headline CPI rose to 2.6% (vs 2.4% last month). CPI was exactly in line with expectations.,cpi,-0.006614370416449411,-0.01269660915524884,2024-11-13 00:00:00-05:00,2024-11-14 00:00:00-05:00
Sep,2024-10-10 00:00:00-04:00,2.4%,2.5%,2.3%,2.3%,+0.1pp,-0.1pp,Headline CPI declined to 2.4% (vs 2.5% last month). This was a negative surprise for markets (+0.1pp vs forecast).,cpi,0.006081290868289235,0.008242572921418168,2024-10-10 00:00:00-04:00,2024-10-13 00:00:00-04:00
Aug,2024-09-11 00:00:00-04:00,2.5%,2.9%,2.5%,2.5%,+0.0pp,-0.4pp,Headline CPI declined to 2.5% (vs 2.9% last month). CPI was exactly in line with expectations.,cpi,0.008467025151346785,0.005123121545945963,2024-09-11 00:00:00-04:00,2024-09-12 00:00:00-04:00
Jul,2024-08-14 00:00:00-04:00,2.9%,3.0%,3.0%,3.0%,-0.1pp,-0.1pp,Headline CPI declined to 2.9% (vs 3.0% last month). This was a positive surprise for markets (-0.1pp vs forecast).,cpi,0.017117481746319996,0.00226541335450281,2024-08-14 00:00:00-04:00,2024-08-15 00:00:00-04:00
Jun,2024-07-11 00:00:00-04:00,3.0%,3.3%,3.1%,3.1%,-0.1pp,-0.3pp,Headline CPI declined to 3.0% (vs 3.3% last month). This was a positive surprise for markets (-0.1pp vs forecast).,cpi,0.006399061827774721,0.0027883133473440846,2024-07-11 00:00:00-04:00,2024-07-14 00:00:00-04:00
