latest_reference_month,release_date,actual_jobs,consensus_jobs,surprise,previous_month_reference,original_value,revised_value,revision_change,revision_commentary,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
Jul,2025-08-01 00:00:00-04:00,73K,106K,-33K,Jun,147K,14K,-133K,Jun was sharply revised down by 133K.,Jul jobs report showed 73K vs 106K expected. Slight downside miss. Jun was sharply revised down by 133K.,jobs,0.015240467660309065,-0.004809416836433322,2025-08-03 00:00:00-04:00,2025-08-04 00:00:00-04:00
Jun,2025-07-03 00:00:00-04:00,147K,111K,36K,May,139K,144K,5K,May was revised up by 5K.,Jun jobs report showed 147K vs 111K expected. Slight upside beat. May was revised up by 5K.,jobs,-0.00690890354264706,-0.0008015003868080406,2025-07-06 00:00:00-04:00,2025-07-07 00:00:00-04:00
May,2025-06-06 00:00:00-04:00,139K,126K,13K,Apr,177K,147K,-30K,Apr was revised down by 30K.,May jobs report showed 139K vs 126K expected. Slight upside beat. Apr was revised down by 30K.,jobs,0.0009468630812592416,0.0057420524769054015,2025-06-08 00:00:00-04:00,2025-06-09 00:00:00-04:00
Apr,2025-05-02 00:00:00-04:00,177K,138K,39K,Mar,228K,185K,-43K,Mar was revised down by 43K.,Apr jobs report showed 177K vs 138K expected. Slight upside beat. Mar was revised down by 43K.,jobs,-0.005567891966377969,-0.008177778162276272,2025-05-04 00:00:00-04:00,2025-05-05 00:00:00-04:00
Mar,2025-04-04 00:00:00-04:00,228K,137K,91K,Feb,151K,117K,-34K,Feb was revised down by 34K.,Mar jobs report showed 228K vs 137K expected. Big upside surprise. Feb was revised down by 34K.,jobs,-0.002423109148345204,-0.014969038310518878,2025-04-06 00:00:00-04:00,2025-04-07 00:00:00-04:00
Feb,2025-03-07 00:00:00-05:00,151K,159K,-8K,Jan,143K,125K,-18K,Jan was revised down by 18K.,Feb jobs report showed 151K vs 159K expected. Slight downside miss. Jan was revised down by 18K.,jobs,-0.026049715659820283,-0.008519153434470406,2025-03-09 00:00:00-05:00,2025-03-10 00:00:00-04:00
Jan,2025-02-07 00:00:00-05:00,143K,169K,-26K,Dec,256K,307K,51K,Dec was revised up by 51K.,Jan jobs report showed 143K vs 169K expected. Slight downside miss. Dec was revised up by 51K.,jobs,0.006541855875128677,0.0007898441563507497,2025-02-09 00:00:00-05:00,2025-02-10 00:00:00-05:00
Dec,2025-01-10 00:00:00-05:00,256K,164K,92K,Nov,227K,212K,-15K,Nov was revised down by 15K.,Dec jobs report showed 256K vs 164K expected. Big upside surprise. Nov was revised down by 15K.,jobs,0.001457042360882399,0.0013865866429516593,2025-01-12 00:00:00-05:00,2025-01-13 00:00:00-05:00
Nov,2024-12-06 00:00:00-05:00,227K,202K,25K,Oct,12K,36K,24K,Oct was revised up by 24K.,Nov jobs report showed 227K vs 202K expected. Slight upside beat. Oct was revised up by 24K.,jobs,-0.005156912507747746,-0.0028961874606928673,2024-12-08 00:00:00-05:00,2024-12-09 00:00:00-05:00
Oct,2024-11-01 00:00:00-04:00,12K,106K,-94K,Sep,254K,223K,-31K,Sep was revised down by 31K.,Oct jobs report showed 12K vs 106K expected. Significant downside surprise. Sep was revised down by 31K.,jobs,-0.002004437930209213,0.0,2024-11-03 00:00:00-04:00,2024-11-03 00:00:00-04:00
