reference_month,published_date,unemployment_rate,previous_unemployment_rate,consensus,forecast,surprise,change_from_previous,meta_commentary
Jul,"Aug 01, 2025  (Jul)",4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations."
Jun,"Jul 03, 2025  (Jun)",4.1%,4.2%,4.3%,4.3%,-0.2%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.3%, positive surprise (-0.2pp vs forecast)."
May,"Jun 06, 2025  (May)",4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations."
Apr,"May 02, 2025  (Apr)",4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations."
Mar,"Apr 04, 2025  (Mar)",4.2%,4.1%,4.1%,4.1%,+0.1%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.1%, negative surprise (+0.1pp vs forecast)."
Feb,"Mar 07, 2025  (Feb)",4.1%,4.0%,4.0%,4.0%,+0.1%,+0.1%,"Unemployment ticked up to 4.1% (vs 4.0% last month). Market expected 4.0%, negative surprise (+0.1pp vs forecast)."
Jan,"Feb 07, 2025  (Jan)",4.0%,4.1%,4.1%,4.1%,-0.1%,-0.1%,"Unemployment ticked down to 4.0% (vs 4.1% last month). Market expected 4.1%, positive surprise (-0.1pp vs forecast)."
Dec,"Jan 10, 2025  (Dec)",4.1%,4.2%,4.2%,4.2%,-0.1%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.2%, positive surprise (-0.1pp vs forecast)."
Nov,"Dec 06, 2024  (Nov)",4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations."
Oct,"Nov 01, 2024  (Oct)",4.1%,4.1%,4.1%,4.1%,+0.0%,+0.0%,"Unemployment was unchanged to 4.1% (vs 4.1% last month). Market expected 4.1%, in line with expectations."
