reference_month,release_date,unemployment_rate,previous_unemployment_rate,consensus,forecast,surprise,change_from_previous,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
Jul,2025-08-01 00:00:00-04:00,4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations.",unemployment,0.015240467660309065,-0.004809416836433322,2025-08-03 00:00:00-04:00,2025-08-04 00:00:00-04:00
Jun,2025-07-03 00:00:00-04:00,4.1%,4.2%,4.3%,4.3%,-0.2%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.3%, positive surprise (-0.2pp vs forecast).",unemployment,-0.00690890354264706,-0.0008015003868080406,2025-07-06 00:00:00-04:00,2025-07-07 00:00:00-04:00
May,2025-06-06 00:00:00-04:00,4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations.",unemployment,0.0009468630812592416,0.0057420524769054015,2025-06-08 00:00:00-04:00,2025-06-09 00:00:00-04:00
Apr,2025-05-02 00:00:00-04:00,4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations.",unemployment,-0.005567891966377969,-0.008177778162276272,2025-05-04 00:00:00-04:00,2025-05-05 00:00:00-04:00
Mar,2025-04-04 00:00:00-04:00,4.2%,4.1%,4.1%,4.1%,+0.1%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.1%, negative surprise (+0.1pp vs forecast).",unemployment,-0.002423109148345204,-0.014969038310518878,2025-04-06 00:00:00-04:00,2025-04-07 00:00:00-04:00
Feb,2025-03-07 00:00:00-05:00,4.1%,4.0%,4.0%,4.0%,+0.1%,+0.1%,"Unemployment ticked up to 4.1% (vs 4.0% last month). Market expected 4.0%, negative surprise (+0.1pp vs forecast).",unemployment,-0.026049715659820283,-0.008519153434470406,2025-03-09 00:00:00-05:00,2025-03-10 00:00:00-04:00
Jan,2025-02-07 00:00:00-05:00,4.0%,4.1%,4.1%,4.1%,-0.1%,-0.1%,"Unemployment ticked down to 4.0% (vs 4.1% last month). Market expected 4.1%, positive surprise (-0.1pp vs forecast).",unemployment,0.006541855875128677,0.0007898441563507497,2025-02-09 00:00:00-05:00,2025-02-10 00:00:00-05:00
Dec,2025-01-10 00:00:00-05:00,4.1%,4.2%,4.2%,4.2%,-0.1%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.2%, positive surprise (-0.1pp vs forecast).",unemployment,0.001457042360882399,0.0013865866429516593,2025-01-12 00:00:00-05:00,2025-01-13 00:00:00-05:00
Nov,2024-12-06 00:00:00-05:00,4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations.",unemployment,-0.005156912507747746,-0.0028961874606928673,2024-12-08 00:00:00-05:00,2024-12-09 00:00:00-05:00
Oct,2024-11-01 00:00:00-04:00,4.1%,4.1%,4.1%,4.1%,+0.0%,+0.0%,"Unemployment was unchanged to 4.1% (vs 4.1% last month). Market expected 4.1%, in line with expectations.",unemployment,-0.002004437930209213,0.0,2024-11-03 00:00:00-04:00,2024-11-03 00:00:00-04:00
Sep,2024-10-04 00:00:00-04:00,4.1%,4.2%,4.2%,4.2%,-0.1%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.2%, positive surprise (-0.1pp vs forecast).",unemployment,-0.008963035214615833,0.009482248573444263,2024-10-06 00:00:00-04:00,2024-10-07 00:00:00-04:00
Aug,2024-09-06 00:00:00-04:00,4.2%,4.3%,4.2%,4.2%,+0.0%,-0.1%,"Unemployment ticked down to 4.2% (vs 4.3% last month). Market expected 4.2%, in line with expectations.",unemployment,0.011226104958331096,0.0036946000016440106,2024-09-08 00:00:00-04:00,2024-09-09 00:00:00-04:00
